alias,date,scenario,value
LK_ECHO,2024-08-01 00:00:00,2,22.7248744193
LK_ECHO,2024-08-01 01:00:00,2,0.0
MACKNTSH,2024-08-01 00:00:00,2,55.973348401900004
MACKNTSH,2024-08-01 01:00:00,2,0.0
MEADOWBK,2024-08-01 00:00:00,2,28.0629321688
MEADOWBK,2024-08-01 01:00:00,2,0.0
POAT110,2024-08-01 00:00:00,2,210.1669593946
POAT110,2024-08-01 01:00:00,2,0.0
REECE1,2024-08-01 00:00:00,2,161.9719237134
REECE1,2024-08-01 01:00:00,2,0.0
TARRALEA,2024-08-01 00:00:00,2,62.9890814441
TARRALEA,2024-08-01 01:00:00,2,0.0
TREVALLN,2024-08-01 00:00:00,2,65.12430454390001
TREVALLN,2024-08-01 01:00:00,2,0.0
TRIBUTE,2024-08-01 00:00:00,2,57.956055565999996
TRIBUTE,2024-08-01 01:00:00,2,0.0
TUNGATIN,2024-08-01 00:00:00,2,87.5441470918
TUNGATIN,2024-08-01 01:00:00,2,0.0
DARTM1,2024-08-01 00:00:00,2,65.43234338
DARTM1,2024-08-01 01:00:00,2,0.0
EILDON1,2024-08-01 00:00:00,2,55.5741832
EILDON1,2024-08-01 01:00:00,2,0.0
HUMEV,2024-08-01 00:00:00,2,16.86167193
HUMEV,2024-08-01 01:00:00,2,0.0
HUMENSW,2024-08-01 00:00:00,2,16.86167193
HUMENSW,2024-08-01 01:00:00,2,0.0
MCKAY1,2024-08-01 00:00:00,2,55.15344434
MCKAY1,2024-08-01 01:00:00,2,0.0
WKIEWA1,2024-08-01 00:00:00,2,12.50044701
WKIEWA1,2024-08-01 01:00:00,2,0.0
BARRON-1,2024-08-01 00:00:00,2,12.9075371
BARRON-1,2024-08-01 01:00:00,2,0.0
KAREEYA1,2024-08-01 00:00:00,2,73.64061215
KAREEYA1,2024-08-01 01:00:00,2,0.0
BORUMBA,2024-08-01 00:00:00,2,0.0
BORUMBA,2024-08-01 01:00:00,2,0.0
KIDSTON,2024-08-01 00:00:00,2,0.0
KIDSTON,2024-08-01 01:00:00,2,0.0
SHGEN,2024-08-01 00:00:00,2,0.0
SHGEN,2024-08-01 01:00:00,2,0.0
SNOWY2,2024-08-01 00:00:00,2,0.0
SNOWY2,2024-08-01 01:00:00,2,0.0
WHOE1,2024-08-01 00:00:00,2,0.0
WHOE1,2024-08-01 01:00:00,2,0.0
BOTN,2024-08-01 00:00:00,2,0.0
BOTN,2024-08-01 01:00:00,2,0.0
BLOWERNG,2024-09-01 00:00:00,2,7.9081009074
BLOWERNG,2024-09-01 01:00:00,2,0.0
GUTHEGA,2024-09-01 00:00:00,2,5.9411113416
GUTHEGA,2024-09-01 01:00:00,2,0.0
MURRAY1,2024-09-01 00:00:00,2,93.9739300722
MURRAY1,2024-09-01 01:00:00,2,0.0
MURRAY2,2024-09-01 00:00:00,2,54.593996112000006
MURRAY2,2024-09-01 01:00:00,2,0.0
TUMUT3,2024-09-01 00:00:00,2,178.0727696712
TUMUT3,2024-09-01 01:00:00,2,0.0
UPPTUMUT,2024-09-01 00:00:00,2,60.9365338956
UPPTUMUT,2024-09-01 01:00:00,2,0.0
BASTYAN,2024-09-01 00:00:00,2,40.42319059450001
BASTYAN,2024-09-01 01:00:00,2,0.0
CETHANA,2024-09-01 00:00:00,2,42.956524065
CETHANA,2024-09-01 01:00:00,2,0.0
DEVILS_G,2024-09-01 00:00:00,2,30.400001646
DEVILS_G,2024-09-01 01:00:00,2,0.0
FISHER,2024-09-01 00:00:00,2,21.808696833000003
FISHER,2024-09-01 01:00:00,2,0.0
GORDON,2024-09-01 00:00:00,2,218.6376929975
GORDON,2024-09-01 01:00:00,2,0.0
JBUTTERS,2024-09-01 00:00:00,2,72.91594597699999
JBUTTERS,2024-09-01 01:00:00,2,0.0
LEM_WIL,2024-09-01 00:00:00,2,41.3043500625
LEM_WIL,2024-09-01 01:00:00,2,0.0
LI_WY_CA,2024-09-01 00:00:00,2,89.43768600199999
LI_WY_CA,2024-09-01 01:00:00,2,0.0
LK_ECHO,2024-09-01 00:00:00,2,16.4115950915
LK_ECHO,2024-09-01 01:00:00,2,0.0
MACKNTSH,2024-09-01 00:00:00,2,40.42319059450001
MACKNTSH,2024-09-01 01:00:00,2,0.0
MEADOWBK,2024-09-01 00:00:00,2,20.266667764
MEADOWBK,2024-09-01 01:00:00,2,0.0
POAT110,2024-09-01 00:00:00,2,151.779718363
POAT110,2024-09-01 01:00:00,2,0.0
REECE1,2024-09-01 00:00:00,2,116.973919377
REECE1,2024-09-01 01:00:00,2,0.0
TARRALEA,2024-09-01 00:00:00,2,45.48985753550001
TARRALEA,2024-09-01 01:00:00,2,0.0
TREVALLN,2024-09-01 00:00:00,2,47.0318866045
TREVALLN,2024-09-01 01:00:00,2,0.0
TRIBUTE,2024-09-01 00:00:00,2,41.85507473
TRIBUTE,2024-09-01 01:00:00,2,0.0
TUNGATIN,2024-09-01 00:00:00,2,63.223191829
TUNGATIN,2024-09-01 01:00:00,2,0.0
DARTM1,2024-09-01 00:00:00,2,66.30453833
DARTM1,2024-09-01 01:00:00,2,0.0
EILDON1,2024-09-01 00:00:00,2,40.1303768
EILDON1,2024-09-01 01:00:00,2,0.0
HUMEV,2024-09-01 00:00:00,2,16.86567181
HUMEV,2024-09-01 01:00:00,2,0.0
HUMENSW,2024-09-01 00:00:00,2,16.86567181
HUMENSW,2024-09-01 01:00:00,2,0.0
MCKAY1,2024-09-01 00:00:00,2,49.96224665
MCKAY1,2024-09-01 01:00:00,2,0.0
WKIEWA1,2024-09-01 00:00:00,2,11.32386969
WKIEWA1,2024-09-01 01:00:00,2,0.0
BARRON-1,2024-09-01 00:00:00,2,8.827072453
BARRON-1,2024-09-01 01:00:00,2,0.0
KAREEYA1,2024-09-01 00:00:00,2,63.54056879
KAREEYA1,2024-09-01 01:00:00,2,0.0
BORUMBA,2024-09-01 00:00:00,2,0.0
BORUMBA,2024-09-01 01:00:00,2,0.0
KIDSTON,2024-09-01 00:00:00,2,0.0
KIDSTON,2024-09-01 01:00:00,2,0.0
SHGEN,2024-09-01 00:00:00,2,0.0
SHGEN,2024-09-01 01:00:00,2,0.0
SNOWY2,2024-09-01 00:00:00,2,0.0
SNOWY2,2024-09-01 01:00:00,2,0.0
WHOE1,2024-09-01 00:00:00,2,0.0
WHOE1,2024-09-01 01:00:00,2,0.0
BOTN,2024-09-01 00:00:00,2,0.0
BOTN,2024-09-01 01:00:00,2,0.0
BLOWERNG,2024-10-01 00:00:00,2,8.90930343244
BLOWERNG,2024-10-01 01:00:00,2,0.0
GUTHEGA,2024-10-01 00:00:00,2,6.69328379696
GUTHEGA,2024-10-01 01:00:00,2,0.0
MURRAY1,2024-10-01 00:00:00,2,105.87146870732
MURRAY1,2024-10-01 01:00:00,2,0.0
MURRAY2,2024-10-01 00:00:00,2,61.50585110720001
